transaction_id,transaction_date,customer_id,country,city,product,category,quantity,unit_price,payment_method,sales_rep,customer_type,status
TX00839,2026-05-14,CUST1033,KE,Kigali,Headset,Accessories,1,5681.41,Cash,Faith,Individual,Completed
TX02847,2026-03-20,CUST0569,Kenya,NAIROBI,Wireless Mouse,Accessories,1,1820.64,Bank Transfer,Amina,SME ,Completed
TX01993,2026-01-26,CUST1085,Rwanda,Nairobi,Tablet,Hardware,1,44692.19,M-Pesa,Amina,SME,Completed
TX02901,2026-05-18,CUST0872,Rwanda,Kisumu,Headset,Accessories,1,5530.82,Bank Transfer,Carol,Corporate,completed
TX00627,2026-05-10,CUST1105,UGANDA,Mombasa,Laptop Stand,Accessories,2,4922.84,Card,Brian,SME,COMPLETED
TX01542,2026-02-20,CUST0034,Uganda,NAIROBI,Monitor,Hardware,2,23672.47,Cash,Amina,Individual,Completed
TX02510,2026-04-02,CUST0907,UGANDA,MOMBASA,Office Laptop,Hardware,1,93489.7,,Brian,Corporate,Pending
TX00539,2026-04-27,CUST0172,TANZANIA,Nairobi,Headset,Accessories,5,4769.58,Card,Brian,Corporate,Completed
TX03691,2026-01-25,CUST1130,Kenya,Arusha,USB-C Hub,Accessories,4,6128.52,M-Pesa,Irene,Corporate,Completed
TX02945,2026-03-15,CUST0489,Uganda,Kisumu,External SSD,Storage,1,14469.06,Cash,David,SME ,Completed
TX03818,2026-02-06,CUST1056,Tanzania,Kigali,Monitor,Hardware,4,23469.64,Card,Carol,Individual,Completed
TX03623,2026-03-27,CUST0296,Kenya,Kampala,Headset,Accessories,1,4683.93,M-Pesa,Irene,Individual,Completed
TX03400,2026-02-22,CUST1093,KENYA,NAIROBI,Tablet,Hardware,1,43993.09,Cash,John,Individual,Completed
TX02881,2026-04-21,CUST0670,TANZANIA,Mombasa,Laptop Stand,Accessories,3,4878.62,Cash,John,SME,Completed
TX02437,2026-06-04,CUST0759,TANZANIA,Arusha,USB-C Hub,Accessories,1,6383.27,Cash,Amina,SME,Completed
TX01770,2026-05-07,CUST0921,Uganda,Mombasa,Keyboard,Accessories,1,2506.61,M-Pesa,John,Corporate,Completed
TX00024,2026-02-06,CUST1015,Rwanda,Kisumu,Monitor,Hardware,2,20864.15,M-Pesa,Amina,Corporate,Completed
TX02395,2026-04-13,CUST0721,TANZANIA,Nairobi,External SSD,Storage,2,15666.11,Cash,Brian,Individual,Cancelled
TX01201,2026-03-07,CUST1045,UGANDA,Dar es Salaam,Laptop Stand,Accessories,4,4386.04,M-Pesa,Brian,Corporate,Cancelled
TX00813,2026-06-02,CUST1151,UGANDA,Dar es Salaam,Monitor,Hardware,1,23341.85,M-Pesa,Carol,SME,Completed
TX01174,2026-06-11,CUST0944,Rwanda,Kampala,Monitor,Hardware,1,19803.99,Bank Transfer,George,Individual,Cancelled
TX00502,2026-04-16,CUST1171,UGANDA,Kigali,Tablet,Hardware,1,46113.95,Card,George,Corporate,Completed
TX02635,2026-04-22,CUST0976,TANZANIA,Kisumu,Keyboard,Accessories,1,2466.86,Cash,Amina,Corporate,Cancelled
TX04795,2026-02-24,CUST0003,UGANDA,Dar es Salaam,USB-C Hub,Accessories,2,6231.72,Cash,John,Individual,Completed
TX03143,2026-03-25,CUST1105,Kenya,Arusha,Wireless Mouse,Accessories,1,1681.03,Card,Amina,Corporate,Cancelled
TX00466,2026-03-08,CUST0920,TANZANIA,NAIROBI,External SSD,Storage,1,14351.46,Card,George,SME,Completed
TX01841,2026-04-30,CUST0150,Uganda,Arusha,Laptop Stand,Accessories,1,4404.1,Cash,Amina,Individual,Completed
TX03296,2026-06-01,CUST0522,Tanzania,MOMBASA,Tablet,Hardware,2,44799.11,Card,Carol,Corporate,Pending
TX03932,2026-02-04,CUST1033,KENYA,MOMBASA,Laptop Bag,Accessories,1,3306.58,Cash,David,Corporate,Cancelled
TX03648,2026-03-04,CUST0570,Kenya,Kigali,Keyboard,Accessories,2,2431.29,Card,John,SME,Cancelled
TX03572,2026-04-25,CUST1100,Kenya,Kisumu,USB-C Hub,Accessories,2,5895.99,M-Pesa,John,SME,completed
TX00880,2026-04-13,CUST0719,Kenya,Nairobi,Monitor,Hardware,2,22604.58,M-Pesa,David,SME,Completed
TX01384,2026-01-22,CUST0149,Kenya,Mombasa,Laptop Stand,Accessories,2,4182.62,Cash,David,Corporate,Completed
TX03665,2026-04-14,CUST0737,Tanzania,,Wireless Mouse,Accessories,2,1742.96,M-Pesa,Brian,SME,completed
TX00107,2026-06-28,CUST0952,UGANDA,Dar es Salaam,External SSD,Storage,1,14776.62,Bank Transfer,George,SME,Completed
TX01398,2026-06-25,CUST0039,Tanzania,Kisumu,Monitor,Hardware,3,22766.48,Bank Transfer,Faith,SME,Cancelled
TX02747,2026-01-26,CUST0777,UGANDA,Arusha,Office Laptop,Hardware,1,86740.21,Card,Faith,Corporate,Completed
TX02146,2026-01-22,CUST0459,KENYA,Mombasa,Wireless Mouse,Accessories,1,1775.69,Card,Amina,SME,Completed
TX01345,2026-03-21,CUST0870,Uganda,Kigali,Wireless Mouse,Accessories,1,1766.88,M-Pesa,David,Individual,Completed
TX02187,2026-02-07,CUST1023,KENYA,Mombasa,Wireless Mouse,Accessories,1,1795.86,Cash,George,Individual,Pending
TX04329,2026-01-31,CUST0407,UGANDA,Kigali,External SSD,Storage,1,15857.66,Card,Irene,Individual,Pending
TX03337,2026-01-29,CUST0568,Uganda,Dar es Salaam,USB-C Hub,Accessories,2,6615.91,Card,David,SME,Completed
TX01653,2026-02-15,CUST0734,Rwanda,Kampala,External SSD,Storage,2,15609.39,Card,Faith,Corporate,Completed
TX01962,2026-06-10,,Uganda,Nairobi,Wireless Mouse,Accessories,1,1859.13,Card,John,Individual,Cancelled
TX00734,2026-02-20,CUST0601,Tanzania,Kampala,USB-C Hub,Accessories,1,7065.36,,Faith,Individual,Completed
TX02139,2026-04-04,CUST0899,KE,NAIROBI,Office Laptop,Hardware,1,93105.26,M-Pesa,Brian,Corporate,Completed
TX01058,2026-06-06,CUST0408,KE,Kampala,USB-C Hub,Accessories,4,6714.66,,Amina,Individual,Completed
TX04636,2026-06-24,CUST0553,Uganda,MOMBASA,Tablet,Hardware,2,38020.88,Bank Transfer,Irene,SME,Completed
TX00712,2026-02-04,CUST0036,Kenya,Arusha,Laptop Stand,Accessories,4,4659.14,M-Pesa,Irene,Individual,Cancelled
TX03703,2026-05-29,CUST1118,Rwanda,MOMBASA,External SSD,Storage,5,13695.03,Card,Carol,Corporate,Completed
TX00240,2026-03-11,CUST1125,TANZANIA,Dar es Salaam,Office Laptop,Hardware,2,99869.03,Card,David,Corporate,Completed
TX00066,2026-06-10,CUST0105,KE,Nairobi,Laptop Stand,Accessories,2,4403.69,,Irene,Individual,Completed
TX00777,2026-02-27,CUST1139,KENYA,Mombasa,Headset,Accessories,4,4778.64,Card,Amina,Individual,Completed
TX00411,2026-06-23,CUST0057,KE,Kisumu,Wireless Mouse,Accessories,1,1794.36,Cash,Brian,Corporate,Cancelled
TX00531,2026-03-05,CUST0244,KE,Kisumu,External SSD,Storage,5,13050.54,Card,George,Corporate,Cancelled
TX02147,2026-03-01,CUST1086,TANZANIA,NAIROBI,Laptop Stand,Accessories,2,4749.44,Bank Transfer,Amina,SME,Completed
TX00590,2026-04-23,CUST0171,KENYA,Kampala,External SSD,Storage,1,14186.25,Bank Transfer,Faith,SME,Pending
TX02693,2026-06-27,CUST0001,TANZANIA,Arusha,Laptop Bag,Accessories,2,3398.67,Cash,David,SME ,Cancelled
TX03136,2026-04-03,CUST0824,KE,Kigali,Keyboard,Accessories,2,2645.46,Card,Carol,Individual,Cancelled
TX03639,2026-03-16,CUST0963,KENYA,Dar es Salaam,External SSD,Storage,4,13742.02,Cash,John,Individual,Cancelled
TX03906,2026-04-26,CUST0492,Uganda,Kampala,Monitor,Hardware,1,21088.99,Bank Transfer,Amina,SME,Pending
TX02760,2026-04-21,CUST1161,Rwanda,Nairobi,Headset,Accessories,2,5089.92,M-Pesa,David,Individual,Pending
TX01616,2026-01-22,CUST0746,Uganda,Arusha,Headset,Accessories,2,5501.26,Cash,John,Individual,COMPLETED
TX02415,2026-01-07,CUST0873,Tanzania,Arusha,USB-C Hub,Accessories,1,5851.3,Card,John,SME,Completed
TX04880,2026-02-13,CUST0393,Kenya,Mombasa,Headset,Accessories,1,5059.44,Cash,Irene,Individual,Completed
TX04128,2026-03-04,CUST0069,TANZANIA,Mombasa,Monitor,Hardware,1,22189.22,Cash,George,SME,Completed
TX00562,2026-01-25,CUST0841,TANZANIA,Mombasa,Office Laptop,Hardware,1,97412.4,M-Pesa,Brian,Corporate,Cancelled
TX00085,2026-02-24,CUST0759,Tanzania,Arusha,Monitor,Hardware,3,20186.71,Bank Transfer,Carol,Corporate,Completed
TX04630,2026-04-24,CUST0664,KE,Dar es Salaam,Monitor,Hardware,2,23315.73,Bank Transfer,David,Individual,Cancelled
TX03106,2026-03-18,CUST1091,Rwanda,Dar es Salaam,Laptop Stand,Accessories,2,4556.22,Cash,George,Individual,Completed
TX02535,2026-01-09,CUST1196,UGANDA,Nairobi,Office Laptop,Hardware,5,93193.97,Cash,Brian,Individual,Cancelled
TX02145,2026-04-06,CUST0209,Uganda,Dar es Salaam,Monitor,Hardware,2,22480.37,Card,Faith,Individual,Completed
TX01527,2026-04-30,CUST0527,KENYA,Mombasa,Tablet,Hardware,2,45269.6,M-Pesa,Carol,SME,Completed
TX03248,2026-01-30,CUST1078,Kenya,Arusha,USB-C Hub,Accessories,2,6522.55,Bank Transfer,John,Corporate,Completed
TX00735,2026-05-10,CUST0781,TANZANIA,MOMBASA,Tablet,Hardware,2,39651.95,Card,Carol,SME,Completed
TX01363,2026-06-15,CUST0330,KE,NAIROBI,Keyboard,Accessories,2,2698.52,Card,Irene,Individual,Completed
TX03535,2026-04-18,CUST0404,KE,Kisumu,USB-C Hub,Accessories,1,6581.41,Bank Transfer,George,Corporate,Completed
TX00487,2026-01-06,CUST0447,KENYA,MOMBASA,External SSD,Storage,2,13845.72,Bank Transfer,Brian,Corporate,Completed
TX01505,2026-04-28,CUST0518,Rwanda,MOMBASA,Office Laptop,Hardware,1,92062.98,M-Pesa,George,Individual,Completed
TX03299,2026-04-19,CUST0699,Rwanda,Arusha,Monitor,Hardware,5,23694.85,M-Pesa,Amina,SME,Completed
TX03451,2026-02-15,CUST1113,KENYA,Dar es Salaam,USB-C Hub,Accessories,1,6772.85,M-Pesa,Amina,Individual,Cancelled
TX04452,2026-02-13,CUST0379,Tanzania,Dar es Salaam,Tablet,Hardware,1,39432.05,Card,Brian,Corporate,Completed
TX03165,2026-01-06,CUST0156,Kenya,NAIROBI,Tablet,Hardware,1,45144.86,Bank Transfer,Brian,Individual,Pending
TX02973,2026-05-14,CUST0224,Rwanda,Kisumu,USB-C Hub,Accessories,1,6269.04,M-Pesa,David,Individual,Completed
TX01439,2026-06-17,CUST0821,KE,Arusha,Monitor,Hardware,1,23597.44,M-Pesa,George,SME ,COMPLETED
TX00180,2026-02-19,CUST1063,KENYA,Kigali,Wireless Mouse,Accessories,5,1621.78,Bank Transfer,John,Corporate,completed
TX01129,2026-02-16,CUST1005,Rwanda,NAIROBI,Laptop Bag,Accessories,1,3386.58,M-Pesa,Amina,Individual,Completed
TX00080,2026-02-07,CUST1039,TANZANIA,NAIROBI,External SSD,Storage,1,15042.78,Cash,Amina,Corporate,Completed
TX02585,2026-03-03,,Kenya,Kigali,Office Laptop,Hardware,1,91070.15,Cash,Carol,Corporate,Cancelled
TX01910,2026-03-08,CUST0233,KENYA,Mombasa,Laptop Stand,Accessories,1,4640.52,M-Pesa,David,Individual,Completed
TX02772,2026-02-28,CUST0389,KE,Kigali,Keyboard,Accessories,1,2351.71,M-Pesa,Irene,SME,Completed
TX04873,2026-03-22,CUST0603,Kenya,Kigali,Keyboard,Accessories,1,2621.69,Cash,George,Corporate,Completed
TX03104,2026-03-24,CUST0483,TANZANIA,Dar es Salaam,Keyboard,Accessories,1,2742.83,Bank Transfer,Irene,SME,Completed
TX02946,2026-03-10,CUST0931,Kenya,Kisumu,Monitor,Hardware,1,22993.07,Card,Irene,SME,Completed
TX00200,2026-01-24,CUST0302,Kenya,Dar es Salaam,Tablet,Hardware,1,43827.82,Bank Transfer,David,SME,Completed
TX02136,2026-06-15,CUST0322,Uganda,Nairobi,Tablet,Hardware,1,40007.44,Cash,George,Individual,Cancelled
TX00280,2026-03-09,CUST0514,Kenya,MOMBASA,Keyboard,Accessories,1,2615.12,M-Pesa,Faith,SME,Completed
TX00908,2026-01-02,CUST1169,KE,NAIROBI,Tablet,Hardware,3,43286.77,Cash,George,Individual,Completed
TX03409,2026-03-05,CUST1143,KENYA,Kisumu,Laptop Bag,Accessories,1,3775.66,Card,Brian,Individual,Completed
TX01145,2026-03-10,CUST0489,KE,Kampala,Wireless Mouse,Accessories,2,1953.65,M-Pesa,Faith,Corporate,Completed
TX00427,2026-02-04,CUST0166,Rwanda,Kisumu,USB-C Hub,Accessories,2,6256.61,Bank Transfer,George,SME,Cancelled
TX01205,2026-03-31,CUST0547,KE,Nairobi,Tablet,Hardware,1,40303.56,Card,Carol,Individual,completed
TX01455,2026-04-22,CUST0717,Uganda,NAIROBI,Wireless Mouse,Accessories,1,1625.72,M-Pesa,Amina,Corporate,Completed
TX02679,2026-04-11,CUST0002,Tanzania,MOMBASA,USB-C Hub,Accessories,1,6049.79,Card,Brian,Individual,Completed
TX02928,2026-06-26,CUST0304,TANZANIA,Kigali,Laptop Bag,Accessories,2,3223.55,Card,Faith,Corporate,Completed
TX02214,2026-03-24,CUST0692,TANZANIA,Dar es Salaam,Office Laptop,Hardware,1,95906.6,Card,John,Individual,Completed
TX00158,2026-01-17,CUST0521,Tanzania,Dar es Salaam,Keyboard,Accessories,1,2481.05,Card,John,Individual,Cancelled
TX02493,2026-03-28,CUST0756,UGANDA,Kisumu,Office Laptop,Hardware,1,90283.42,Cash,Amina,SME ,Pending
TX04177,2026-05-20,CUST1072,UGANDA,Mombasa,Office Laptop,Hardware,2,89812.23,M-Pesa,Irene,Individual,completed
TX04577,2026-06-19,CUST0651,Tanzania,NAIROBI,Laptop Stand,Accessories,1,4923.6,M-Pesa,Irene,Individual,Pending
TX04151,2026-06-18,CUST0333,Rwanda,Kigali,USB-C Hub,Accessories,2,6824.71,Card,Brian,Individual,Cancelled
TX00229,2026-02-18,CUST0836,KENYA,NAIROBI,External SSD,Storage,2,14861.52,Card,Amina,Individual,Completed
TX03201,2026-01-16,CUST0972,KENYA,Dar es Salaam,External SSD,Storage,2,14190.49,Cash,Brian,Corporate,Completed
TX00927,2026-01-11,CUST0541,Tanzania,Arusha,Laptop Stand,Accessories,3,4462.78,Bank Transfer,Irene,Corporate,Completed
TX04296,2026-03-26,CUST0730,Uganda,Arusha,Office Laptop,Hardware,4,88262.74,Bank Transfer,Faith,Corporate,Completed
TX01621,2026-03-17,CUST1113,Rwanda,Kisumu,Monitor,Hardware,5,21415.07,,George,SME,Completed
TX00030,2026-02-18,CUST1196,Uganda,Mombasa,Laptop Stand,Accessories,1,4499.27,Cash,George,Individual,Completed
TX04014,2026-06-18,CUST0477,KENYA,Mombasa,Monitor,Hardware,1,23806.83,M-Pesa,Carol,Individual,Cancelled
TX01056,2026-04-26,CUST1000,KENYA,MOMBASA,Headset,Accessories,2,4698.76,M-Pesa,John,Individual,Pending
TX04003,2026-06-04,CUST0642,Kenya,Kisumu,Wireless Mouse,Accessories,2,1933.15,Cash,Faith,Individual,Completed
TX00469,2026-05-02,CUST0985,KENYA,Mombasa,Headset,Accessories,1,5137.66,Cash,Amina,SME,Pending
TX02158,2026-03-29,CUST1087,KENYA,,Office Laptop,Hardware,5,94034.51,M-Pesa,Faith,SME,Completed
TX00671,2026-06-16,CUST0989,Tanzania,NAIROBI,Headset,Accessories,1,5143.34,Card,David,SME,Completed
TX04344,2026-05-27,CUST0243,UGANDA,NAIROBI,Wireless Mouse,Accessories,1,1630.65,Bank Transfer,Brian,Corporate,Completed
TX04155,2026-01-27,CUST1142,KE,Kigali,Laptop Bag,Accessories,2,3245.61,Card,John,Individual,Completed
TX01483,2026-03-17,CUST0481,TANZANIA,Kampala,Laptop Stand,Accessories,2,4424.46,M-Pesa,Faith,SME,Completed
TX01428,2026-05-09,CUST0655,Rwanda,Kisumu,Keyboard,Accessories,1,2385.37,Cash,Irene,SME,Completed
TX03025,2026-06-29,CUST0990,Tanzania,Arusha,Monitor,Hardware,3,20993.36,M-Pesa,Brian,Individual,Completed
TX02611,2026-04-22,CUST0507,Uganda,Kigali,Tablet,Hardware,5,41591.68,M-Pesa,Irene,SME,Completed
TX00152,2026-05-14,CUST0459,KE,Nairobi,Monitor,Hardware,2,19908.18,Card,Irene,SME,Completed
TX00656,2026-06-07,CUST0206,UGANDA,Mombasa,Laptop Stand,Accessories,1,4472.47,Card,David,Corporate,Pending
TX02804,2026-06-13,CUST0530,KENYA,Kisumu,Monitor,Hardware,1,23064.28,Card,John,SME,Cancelled
TX02518,2026-04-28,CUST0073,Kenya,Arusha,Tablet,Hardware,3,38450.79,M-Pesa,Irene,Corporate,Completed
TX00241,2026-02-23,CUST0202,KE,Kisumu,Monitor,Hardware,2,23699.26,Card,George,Individual,Pending
TX00625,2026-04-18,CUST0546,KENYA,Kampala,Keyboard,Accessories,1,2382.54,M-Pesa,Brian,SME,Cancelled
TX04054,2026-06-17,CUST0131,KENYA,Kampala,Monitor,Hardware,1,20727.69,Bank Transfer,Irene,Individual,Cancelled
TX04101,2026-06-20,CUST0617,Kenya,,Office Laptop,Hardware,1,94082.44,Card,David,SME,Cancelled
TX00334,2026-01-03,CUST0326,Uganda,NAIROBI,Wireless Mouse,Accessories,1,1955.09,Cash,David,Individual,Completed
TX04048,2026-06-13,CUST0996,KENYA,Kampala,Headset,Accessories,1,5677.86,Cash,Carol,SME,Completed
TX04464,2026-01-30,CUST0324,Uganda,NAIROBI,Tablet,Hardware,1,39912.59,Card,Carol,SME,Cancelled
TX03258,2026-04-12,CUST1031,Uganda,Dar es Salaam,Monitor,Hardware,1,20638.73,Cash,Amina,SME,Completed
TX00169,2026-04-04,CUST0159,Uganda,Nairobi,USB-C Hub,Accessories,1,6184.99,Card,Faith,Individual,Pending
TX03117,2026-05-15,CUST0206,UGANDA,Kampala,Office Laptop,Hardware,2,97531.99,Bank Transfer,Brian,Corporate,Completed
TX04529,2026-03-12,,UGANDA,Dar es Salaam,Laptop Stand,Accessories,1,4432.15,M-Pesa,Faith,Corporate,Cancelled
TX04553,2026-04-04,CUST0688,TANZANIA,Mombasa,Tablet,Hardware,2,40037.41,M-Pesa,John,Corporate,Cancelled
TX00600,2026-05-20,CUST1174,KENYA,Nairobi,Headset,Accessories,2,5408.97,Cash,Amina,Individual,Cancelled
TX00297,2026-03-03,CUST1151,TANZANIA,Kisumu,Keyboard,Accessories,1,2292.2,Bank Transfer,Amina,Corporate,Completed
TX02292,2026-01-28,CUST0413,Uganda,NAIROBI,Headset,Accessories,1,5095.3,Cash,Faith,Corporate,Completed
TX01715,2026-02-11,CUST0456,UGANDA,Kampala,Office Laptop,Hardware,1,93022.88,Cash,Carol,SME,completed
TX04649,2026-06-09,CUST0616,KENYA,Mombasa,Headset,Accessories,5,5316.97,M-Pesa,Amina,Individual,Completed
TX04975,2026-05-29,CUST0197,KENYA,Nairobi,Wireless Mouse,Accessories,1,1704.79,M-Pesa,Amina,Corporate,Completed
TX04482,2026-04-16,CUST0711,Tanzania,MOMBASA,Laptop Stand,Accessories,1,4284.69,M-Pesa,John,Corporate,completed
TX03361,2026-05-14,CUST0862,Kenya,Kigali,Laptop Bag,Accessories,2,3733.51,M-Pesa,Amina,Individual,Cancelled
TX01175,2026-05-01,CUST0776,Tanzania,MOMBASA,Office Laptop,Hardware,2,88059.6,Cash,George,SME,Completed
TX04918,2026-02-21,CUST0130,Kenya,Dar es Salaam,Laptop Bag,Accessories,1,3731.76,Cash,Faith,SME,Completed
TX03865,2026-05-25,CUST0610,KENYA,Dar es Salaam,Keyboard,Accessories,1,2568.02,M-Pesa,Amina,Individual,Completed
TX00811,2026-04-12,CUST0229,KE,Dar es Salaam,Laptop Stand,Accessories,5,4072.34,Card,Amina,SME,Pending
TX01352,2026-05-22,CUST0493,Uganda,Mombasa,Laptop Stand,Accessories,1,4454.75,Bank Transfer,Brian,Individual,Completed
TX01973,2026-06-05,CUST0794,Rwanda,Kigali,Wireless Mouse,Accessories,1,1810.86,Card,David,SME,Completed
TX03373,2026-04-21,CUST0104,TANZANIA,Kisumu,Monitor,Hardware,1,23935.04,Cash,George,Individual,Pending
TX01554,2026-05-03,CUST0703,UGANDA,Kigali,Keyboard,Accessories,1,2437.04,Bank Transfer,Carol,SME,Pending
TX00554,2026-06-17,,TANZANIA,Mombasa,Laptop Bag,Accessories,4,3773.1,Card,George,Corporate,Cancelled
TX01520,2026-04-15,CUST0925,Rwanda,Kigali,External SSD,Storage,1,15764.32,Bank Transfer,John,SME,Completed
TX01877,2026-06-13,CUST0651,Kenya,Kampala,Headset,Accessories,3,5598.12,Card,George,SME,Completed
TX01421,2026-05-11,CUST0601,Rwanda,Arusha,Wireless Mouse,Accessories,4,1847.9,Cash,Carol,Corporate,Pending
TX04241,2026-02-17,CUST0564,Kenya,Kisumu,Tablet,Hardware,5,45471.92,Card,Faith,Individual,Cancelled
TX00764,2026-05-03,CUST1163,Uganda,Arusha,Headset,Accessories,3,5234.16,M-Pesa,Brian,Corporate,Pending
TX02521,2026-03-11,CUST0466,TANZANIA,MOMBASA,Tablet,Hardware,1,42477.03,Bank Transfer,George,SME,Completed
TX00722,2026-05-06,CUST0542,KENYA,Nairobi,USB-C Hub,Accessories,5,6297.6,Card,David,Individual,Completed
TX01376,2026-05-21,CUST1060,Uganda,Mombasa,Headset,Accessories,1,5531.93,M-Pesa,John,Corporate,Cancelled
TX00682,2026-05-20,CUST0084,KE,Mombasa,Tablet,Hardware,1,38951.24,Bank Transfer,Irene,Individual,Pending
TX02233,2026-05-15,CUST0980,Tanzania,Nairobi,Keyboard,Accessories,2,2262.03,Card,Carol,Individual,Completed
TX04327,2026-05-30,CUST1118,Uganda,Kigali,External SSD,Storage,1,14581.29,Card,Carol,Corporate,Cancelled
TX02916,2026-05-03,CUST0549,TANZANIA,Kampala,USB-C Hub,Accessories,2,7106.64,M-Pesa,John,Corporate,Completed
TX03902,2026-03-14,CUST0896,Tanzania,Kisumu,Wireless Mouse,Accessories,3,1940.2,Cash,Faith,SME,Completed
TX01539,2026-02-20,CUST0817,Rwanda,Nairobi,Laptop Bag,Accessories,1,3820.96,M-Pesa,Brian,Individual,Completed
TX02046,2026-05-03,CUST0607,Uganda,MOMBASA,Tablet,Hardware,2,45916.72,M-Pesa,Amina,SME,Pending
TX02068,2026-06-20,CUST0827,Tanzania,Arusha,Keyboard,Accessories,1,2684.52,Card,Brian,SME,completed
TX01594,2026-06-21,CUST0630,Uganda,Dar es Salaam,Tablet,Hardware,1,44462.63,M-Pesa,Irene,Corporate,Pending
TX02701,2026-06-15,CUST0694,Uganda,Kigali,Laptop Bag,Accessories,1,3441.38,Card,Brian,Corporate,Completed
TX00228,2026-04-06,CUST0992,Tanzania,Kampala,Keyboard,Accessories,1,2299.2,Cash,David,Individual,Completed
TX03955,2026-01-06,CUST0123,Uganda,Dar es Salaam,External SSD,Storage,1,14326.52,Cash,John,SME,Completed
TX00545,2026-02-14,CUST0009,UGANDA,Mombasa,Tablet,Hardware,1,42047.85,Cash,George,Individual,Pending
TX04009,2026-01-29,CUST0434,Rwanda,Nairobi,Laptop Stand,Accessories,2,4461.46,Cash,Carol,SME,Completed
TX03730,2026-01-13,CUST1009,KE,Mombasa,External SSD,Storage,1,14202.08,Bank Transfer,Brian,Corporate,Pending
TX03227,2026-01-08,,TANZANIA,Kigali,Headset,Accessories,2,5354.44,Card,Irene,Individual,Completed
TX03249,2026-03-30,CUST0136,Tanzania,Mombasa,External SSD,Storage,2,13373.95,Card,Amina,Individual,Completed
TX02165,2026-05-01,CUST1097,Tanzania,Mombasa,Laptop Stand,Accessories,1,4941.14,Cash,John,Corporate,Pending
TX02749,2026-03-21,CUST0293,Kenya,Kigali,Headset,Accessories,3,5661.92,M-Pesa,David,Individual,Completed
TX00765,2026-05-19,CUST0935,Kenya,Mombasa,Wireless Mouse,Accessories,1,1765.31,Card,John,Corporate,Completed
TX02277,2026-05-19,CUST0647,KENYA,Nairobi,Keyboard,Accessories,5,2665.48,Cash,David,Individual,Pending
